id,Reference
C1,"Aarnio, K., E. Bonsdorff E, and N. Rosenback. 1996. Food and feeding habits of juvenile flounder Platichthys flesus (L.), and turbot Scophthalmus maximus L. in the Åland archipelago, northern Baltic Sea. Journal of Sea Research 36:311–320."
C2,"Ankar, S. (1977). The soft bottom ecosystem of the northern Baltic proper with special reference to the macrofauna (Doctoral dissertation, Askö laboratory [Askölaboratoriet]). "
C3,"Bonsdorff, E., Norkko, A., & Sandberg, E. (1995). Structuring zoobenthos: the importance of predation, siphon cropping and physical disturbance. Journal of Experimental Marine Biology and Ecology, 192(1), 125-144. "
C4,"Cardinale, M., 2000, Ontogenetic diet shifts of bull-rout, Myxocephalus scorpius (L.), in the south-western Baltic Sea.. J. Appl. Ichthyol. 16:231-239. "
C5,"Casini, M., Cardinale, M., & Arrhenius, F. (2004). Feeding preferences of herring (Clupea harengus) and sprat (Sprattus sprattus) in the southern Baltic Sea. ICES Journal of Marine Science, 61(8), 1267-1277. "
C6,"Casini, M., Cardinale, M., Hjelm, J., & Vitale, F. (2005). Trends in cpue and related changes in spatial distribution of demersal fish species in the Kattegat and Skagerrak, eastern North Sea, between 1981 and 2003. ICES Journal of Marine Science, 62(4), 671-682. "
C7,"Dahl, E. 1973. Ecological range of Baltic and North Sea species. Oikos 15:85–90. "
C8,"Dauer, D. M. 1997. Functional morphology and feeding behaviour of Marenzelleria viridis (Polychaeta: Spionidae). Bulletin of Marine Science 60:512–516."
C9,"EOL: Parr, C. S., N. Wilson, P. Leary, K. S. Schulz, K. Lans, L. Walley, J. A. Hammock, A. Goddard, J. Rice, M. Studer, J. T. G. Holmes, and R. J. Corrigan, Jr. 2014. The Encyclopedia of Life v2: Providing Global Access to Knowledge About Life on Earth. Biodiversity Data Journal 2: e1079, doi:10.3897/BDJ.2.e1079"
C10,"Falkenhaug, T., & Dalpadado, P. (2014). Diet composition and food selectivity of sprat (Sprattus sprattus) in Hardangerfjord, Norway. Marine Biology Research, 10(3), 203-215. "
C11,"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: a study of polychaete feeding guilds. Oceanography and marine Biology annual review. "
C12,"Froese, R. and D. Pauly. Editors. 2019.FishBase. World Wide Web electronic publication. www.fishbase.org, ( 02/2023 )"
C13,"FRYER, G. (1960, March). Studies on some parasitic crustaceans on African freshwater fishes, with descriptions of a new copepod of the genus Ergasilus and a new branchiuran of the genus Chonopeltis. In Proceedings of the Zoological Society of London (Vol. 133, No. 4, pp. 629-647). Oxford, UK: Blackwell Publishing Ltd. "
C14,"Gerdol, V., & Hughes, R. G. (1994). Feeding behaviour and diet of Corophium volutator in an estuary in southeastern England. Marine Ecology Progress Series, 103-108. "
C15,"Giere, O. (1975). Population structure, food relations and ecological role of marine oligochaetes, with special reference to meiobenthic species. Marine Biology, 31(2), 139-156. "
C16,"GLOBI: Jorrit H. Poelen, James D. Simons and Chris J. Mungall. (2014). Global Biotic Interactions: An open infrastructure to share and analyze species-interaction datasets. Ecological Informatics. https://doi.org/10.1016/j.ecoinf.2014.08.005."
C17,"Grossnickle, N.E. (1982). Feeding habits of Mysis relicta — an overview. Hydrobiologia 93, 101–107  https://doi.org/10.1007/BF00008103"
C18,"Haahtela, I. (1990, January). What do Baltic studies tell us about the isopod Saduria entomon (L.)?. In Annales Zoologici Fennici (pp. 269-278). Finnish Zoological Publishing Board, formed by the Finnish Academy of Sciences, Societas Scientiarum Fennica, Societas Biologica Fennica Vanamo and Societas pro Fauna et Flora Fennica. "
C19,"Hansson, S., Bengtsson, B. E., & Bengtsson, Å. (1984). Stomach contents in Baltic fourhorn sculpin (Myoxocephalus quadricornis L.) with normal and deformed spinal vertebrae. Marine pollution bulletin, 15(10), 375-377. "
C20,"Heip, C. (1976). The life-cycle of Cyprideis torosa (Crustacea, Ostracoda). Oecologia, 24(3), 229-245. "
C21,"Hudon, C. (1983). Selection of unicellular algae by the littoral amphipods Gammarus oceanicus and Calliopius laeviusculus (Crustacea). Marine Biology, 78, 59-67. "
C22,"Icely, J. D., & Nott, J. A. (1985). Feeding and digestion in Corophium volutator (Crustacea: Amphipoda). Marine Biology, 89, 183-195. "
C23,"Jakubavi?i?t?, E., Casini, M., Ložys, L., & Olsson, J. (2017). Seasonal dynamics in the diet of pelagic fish species in the southwest Baltic Proper. ICES Journal of Marine Science, 74(3), 750-758."
C24,"Kolasa, J., Thorp, J. M., & Covich, A. P. (1991). Flatworms: Turbellaria. Ecology and Classification of North American Freshwater Invertebrates. Academic Press, New York, 145-171. "
C25,"Lappalainen, A., M. Rask, H. Koponen, and S. Vesala. 2001. Relative abundance, diet and growth of perch (Perca fluviatilis) and roach (Rutilus rutilus) at Tvärminne, northern Baltic Sea, in 1975 and 1997: Responses to eutrophication? Boreal Environment Research 6:107–118."
C26,"Lasenby, David & Langford, R.R. (2011). Growth, Life History, and Respiration of Mysis relicta in an Arctic and Temperate Lake. Journal of the Fisheries Research Board of Canada. 29. 1701-1708. 10.1139/f72-270. "
C27,"Lehtiniemi, M., & Nordström, H. (2008). Feeding differences among common littoral mysids, Neomysis integer, Praunus flexuosus and P. inermis. Hydrobiologia, 614(1), 309-320. "
C28,"Leidenberger, S., K. Harding, and P. R. Jonsson. 2012. Ecology and distribution of the Isopod genus Idotea in the Baltic Sea: key species in a changing environment. Journal of Crustacean Biology 32:359–381."
C29,"Leonardsson, K. (1991). Effects of cannibalism and alternative prey on population dynamics of Saduria entomon (Isopoda). Ecology, 72(4), 1273-1285. "
C30,"Leonardsson, K., Bengtsson, Å., & Linnér, J. (1988). Size-selective predation by fourhorn sculpin, Myoxocephalus quadricornis (L.)(Pisces) on Mesidotea entomon (L.)(Crustacea, Isopoda). Hydrobiologia, 164, 213-220. "
C31,Luontoportti
C32,"Maria, T. F., M. De Troch, J. Vanaverbeke, A. M. Esteves, and A. Vanreusel. 2011. Use of benthic vs. planktonic organic matter by sandy-beach organisms: a food tracing experiment with 13C labelled diatoms. Journal of Experimental Marine Biology and Ecology 407:309–314. "
C33,"MarLIN (Marine Life Information Network), 2019. Marine Life Information Network. Plymouth: Marine Biological Association of the United Kingdom. [cited 06/06/2019]. Available from: www.marlin.ac.uk "
C34,"MarLIN, 2006. BIOTIC - Biological Traits Information Catalogue. Marine Life Information Network. Plymouth: Marine Biological Association of the United Kingdom. [01/08/2019] Available from <www.marlin.ac.uk/biotic> "
C35,"Möllmann, C., Kornilovs, G., Fetter, M., & Köster, F. W. (2004). Feeding ecology of central Baltic Sea herring and sprat. Journal of Fish Biology, 65(6), 1563-1581. "
C36,"Mustamäki, N., Cederberg, T., & Mattila, J. (2014). Diet, stable isotopes and morphology of Eurasian perch (Perca fluviatilis) in littoral and pelagic habitats in the northern Baltic Proper. Environmental biology of fishes, 97, 675-689. "
C37,"Muus, B. J. 1967. The fauna of Danish estuaries and lagoons: distribution and ecology of dominating species in the shallow reaches of the mesohaline zone. AF Høst, Copenhagen, Denmark. "
C38,"Nascimento, F. J. (2010). Trophic ecology of meiofauna: Response to sedimentation of phytoplankton blooms in the Baltic Sea (Doctoral dissertation, Department of Systems Ecology, Stockholm University). "
C39,"Nellbring, S. 1988. Quantitative and qualitative studies of fish in shallow water, northern Baltic proper. Dissertation. University of Stockholm, Sweden."
C40,"Nicolaisen, W., & Kanneworff, E. (1969). On the burrowing and feeding habits of the amphipods Bathyporeia pilosa Lindström and Bathyporeia sarsi Watkin. Ophelia, 6(1), 231-250. "
C41,"Nicolaisen, W., & Kanneworff, E. (1969). On the burrowing and feeding habits of the amphipods Bathyporeia pilosa Lindström and Bathyporeia sarsi Watkin. Ophelia, 6(1), 231-250. "
C42,"Nissling, A., M. Jacobsson, and N. Hallberg. 2007. Feeding ecology of juvenile turbot Scophthalmus maximus and flounder Pleuronectes flesus at Gotland, Central Baltic Sea. Journal of Fish Biology 70:1877–1897."
C43,"Nordström, M., Bonsdorff, E., & Salovius, S. (2006). The impact of infauna (Nereis diversicolor and Saduria entomon) on the redistribution and biomass of macroalgae on marine soft bottoms. Journal of Experimental Marine Biology and Ecology, 333(1), 58-70. "
C44,"Ojaveer, H. (1997). Composition and dynamics of fish stocks in the Gulf of Riga ecosystem. Tartu: Tartu University Press. "
C45,"Ojaveer, H., Eero, M., & Lankov, A. (2004, December). Microevolution of eelpout, Zoarces viviparus, in the Baltic Sea. In Proceedings of the Estonian Academy of Sciences, Biology and Ecology (Vol. 53, No. 4, pp. 292-305). Estonian Academy Publishers. "
C46,"Olafsson, E. B. 1986. Density dependence in suspension-feeding and deposit–feeding populations of the bivalve Macoma balthica: a field experiment. Journal of Animal Ecology 55:517–526."
C47,"Oliver, D. R. ""Life history of the Chironomidae."" Annual review of entomology 16.1 (1971): 211-230. "
C48,"Råberg, S., and L. Kautsky. 2007. Grazer identity is crucial for facilitating growth of the perennial brown alga Fucus vesiculosus. Marine Ecology Progress Series 361:111–118."
C49,"Radea, C., I. Louvrou, and A. Economou-Amilli. 2008. First record of the New Zeeland mud snail Potamopyrgus antipodarum J.E.Gray 1843 (Mollusca: Hydrobiidae) in Greece: notes on its population structure and associated microalgae. Aquatic Invasions 3:341–344."
C50,"Reise, K. (Ed.). (2001). Ecological comparisons of sedimentary shores (Vol. 151). Springer Science & Business Media. "
C51,"Rieper, M. (1982). Feeding Preferences of Marine Harpacticoid. Marine ecologyprogress series, 7, 303-307. "
C52,"Riisgård, H. U., & Schotge, P. (2007). Surface deposit feeding versus filter feeding in the amphipod Corophium volutator. Marine Biology Research, 3(6), 421-427. "
C53,RKTL (http://gesreg.msi.ttu.ee/en/partners/rktl)
C54,"Rönn, C., Bonsdorff, E., & Nelson, W. G. (1988). Predation as a mechanism of interference within infauna in shallow brackish water soft bottoms; experiments with an infauna predator, Nereis diversicolor OF Müller. Journal of experimental marine biology and ecology, 116(2), 143-157. "
C55,"Rudstam, L. G., Danielsson, K., Hansson, S., & Johansson, S. (1989). Diel vertical migration and feeding patterns of Mysis mixta (Crustacea, Mysidacea) in the Baltic Sea. Marine Biology, 101, 43-52. "
C56,"Sandberg, E. (1997). Does oxygen deficiency modify the functional response of Saduria entomon (Isopoda) to Bathyporeia pilosa (Amphipoda)?. Marine Biology, 129, 499-504. "
C57,"Sandberg, E., & Bonsdorff, E. (1992). Competition for food between predators of marine and limnic origin-experiments with Saduria entomon (Isopoda) and Libellula quadrimaculata (Odonata). In Proc. 12th Baltic Marine Biologists Symp (pp. 141-144). Olsen & Olsen Fredensborg. "
C58,"Scheinin, M., Scyphers, S. B., Kauppi, L., Heck Jr, K. L., & Mattila, J. (2012). The relationship between vegetation density and its protective value depends on the densities and traits of prey and predators. Oikos, 121(7), 1093-1102. "
C59,"Sjöberg, B. (1967). On the ecology of the Jaera albifrons group (Isopoda). Sarsia, 29(1), 321-348. "
C60,"Sundbäck, K., & L.-E. Persson. (1981). The effect of microbenthic grazing by an amphipod, Bathyporeia pilosa, Lindström. Kieler Meeresforschungen 5:573–575. "
C61,"Svanbäck, R., Rydberg, C., Leonardsson, K., & Englund, G. (2011). Diet specialization in a fluctuating population of Saduria entomon: a consequence of resource or forager densities?. Oikos, 120(6), 848-854. "
C62,"Thiel, M., & Kruse, I. (2001). Status of the Nemertea as predators in marine ecosystems. Hydrobiologia, 456, 21-32. "
C63,"Tockner, K., & Likens, G. E. (2009). Encyclopedia of Inland Waters. Academic Press. "
C64,"Uzars, D., Ustups, D., Müller–Karulis, B., & Urtans, E. (2003). Size structure and feeding ecology of fish communities in the surf zone of the Eastern Baltic. In ICES Annual Science Conference. Tallinn, Estonia."
C65,"Valtonen, E. T., Marcogliese, D. J., & Julkunen, M. (2010). Vertebrate diets derived from trophically transmitted fish parasites in the Bothnian Bay. Oecologia, 162, 139-152. "
