Trophospecies,Habitat,MS_XS,MS_S,MS_SM,MS_M,MS_ML,MS_L,MS_XL,MC_Primary_Producer,MC_Invertebrate,MC_Ectotherm_vertebrate,FS_None,FS_Predator,FS_Scavenger,FS_Parasite,FS_Grazer,FS_Deposit_feeder,FS_Filter_feeder,CT_Primary_Producer,CT_Detritivore,CT_Herbivore,CT_Carnivore,CT_Omnivore,MB_Sessile,MB_Passive_floater,MB_Crawler_Burrower,MB_Facultative_swimmer,MB_Obligate_swimmer,EP_Infauna,EP_Epibenthic,EP_Bent_pelagic,EP_Pelagic,BS_Plant_like,BS_Fusiform,BS_Deep,BS_Flat,BS_Elongated,BS_Eel_like,BS_Uns_Verminiform,BS_Seg_Verminiform,BS_Bivalved,BS_Turbinate,BS_Articulate,GM_No_gut,GM_Simple_gut,GM_Stomach,GM_Pyloric_caecum,GM_Intestine,PR_No_protection,PR_Shoaling_Schooling,PR_Tube,PR_Burrow,PR_Case,PR_Soft_shell,PR_Hard_shell,PR_Few_spines,PR_Armoured
Clupea harengus,Fucus,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Gasterosteus aculeatus,Fucus,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0
Gymnocephalus cernua,Fucus,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Myoxocephalus quadricornis,Fucus,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
Myoxocephalus scorpius,Fucus,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
Nerophis ophidion,Fucus,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Perca fluviatilis,Fucus,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Platichthys flesus,Fucus,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Pomatoschistus,Fucus,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
Sprattus sprattus,Fucus,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
